the_geom,cartodb_id,portfolio_bldg_id,BEPP_compliance_group,BEPP_compliance_cycle_one_status,property_name,address,postal_code,primary_property_type,sector,floor_area,year_built,number_of_buildings,phl_bldg_id,electricity_2019,natural_gas_2019,fuel_oil_2019,steam_2019,energy_star_2019,site_eui_2019,source_eui_2019,water_use_2019,total_ghg_2019,water_score_2019,electricity_2020,natural_gas_2020,fuel_oil_2020,steam_2020,energy_star_2020,site_eui_2020,source_eui_2020,water_use_2020,total_ghg_2020,water_score_2020,electricity_2021,natural_gas_2021,fuel_oil_2021,steam_2021,energy_star_2021,site_eui_2021,source_eui_2021,water_use_2021,total_ghg_2021,water_score_2021,x_coord,y_coord
0101000020E6100000AA26A9C878CA52C0BCFC982034FA4340,1647,3644299,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,1401 Arch St.,1401-15 ARCH ST,19102,Office,Office,178250,1960,1,883056905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16362206,39.9547158
0101000020E610000028D4F45549C752C09710BDD66FFE4340,1841,3783051,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,"CRAMCO, INC",2200 E ANN ST,19134,Manufacturing/Industrial Plant,Industrial,210300,1920,1,884094500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.11385106,39.98778805
0101000020E6100000194CEC6F43CF52C059A1ED3D81054440,1906,16025796,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,401 Domino Lane,401 Domino Lane,19128,Mixed Use Property,Other,134790,1970,1,884630430,,,,,,,,,,,1543178.7,,525035.4,,94,15.3,36,424.7,186.7,,,,,,,,,,,,-75.23849104,40.04300665
0101000020E6100000818CCA9761CC52C097670C1058FA4340,1,3652506,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,Monell Center,3508-18 MARKET ST,19104,Office,Office,61589,1970,1,774688100,5593185.828,445.577145,,5076320.6,,173.2,353.4,1376.2,903.7,,6057095,477.8,,4825125.7,,176.7,369.6,701.8,900.1,,6344214.8,632.7,,4389586.7,,174.3,374.2,780,880.6,,-75.1934566,39.95581246
0101000020E61000003C31EBC5D0C952C0E5F0281929FA4340,2,5032267,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,PODIATRIC - HOUSING,801 CHERRY ST,19122,Other,Other,59253,2000,1,881010111,3475275.54,574960.0004,,2559052.3,,111.5,226.4,2197.7,552.5,,3195109.4,371510,,1760648.5,,89.9,193.3,1139.7,442.4,,3049525.8,432510.1,,2406351.8,,99.4,200.6,2271.7,465.9,,-75.1533675,39.95437922
0101000020E61000009FC728CFFCC952C01AB1A248EFFD4340,3,5032268,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,JOHNSON,2029 N BROAD,19122,Other,Other,143177,2000,1,881299200,20872534.68,1565329.981,,10494399.7,,230,507.8,19451.8,2894.6,,10220861,456030,,8521040.5,,134.1,274.8,12620,1568.2,,12899809.8,568850,,8364710.7,,152.5,326.7,17862.6,1783.4,,-75.15605525,39.98386486
0101000020E6100000F72CDF650CCA52C047E62E155DF94340,4,4968782,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Exempt,Barringer Building,912-28 WALNUT ST,19114,Multifamily Housing,Multifamily,140000,1976,,881008240,1878571.454,,,3444689.7,95,38,67.2,4656.6,419,41,1899318.1,,,3893992.2,90,41.4,71.4,4479.8,440.3,44,5084896.8,,,3741516.6,21,55.7,118.3,6624.6,720.6,11,-75.15700671,39.94815316
0101000020E6100000EE676787AECA52C073250A4688FA4340,5,13056933,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Sheraton Philadelphia Downtown,201 N 17TH ST,19103,Hotel,Hotel,696348,1980,1,883720000,27402676.18,,,26130526.1,68,76.9,155.3,38991.9,4357.7,,,,,,,,,,,,,,,,,,,,,,-75.1669024,39.95728374
0101000020E6100000C6587DE030CA52C0D9D1938DE2F94340,221,3884965,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Headhouse Retail,1113 MARKET ST,19107,Other,Retail,107000,1990,,883705100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.15923321,39.95222635
0101000020E6100000C275BD1BA8CB52C0C9F4198A9AFA4340,789,4104223,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Amtrak Parking Garage,2931L ARCH ST,19104,Parking,Parking,475200,2004,,875100390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.18213552,39.95784117
0101000020E6100000AA97A5BE28CB52C04599D386BF024440,936,5094450,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Exempt,"MW Manor Assoc, LP",507 MANHEIM ST,19144,Multifamily Housing,Multifamily,65000,1999,,886603400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.17436186,40.02146993
0101000020E6100000072EEAEED5CA52C02A88891F46F24340,1131,2933141,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,LT02184 - Five Crescent Drive,4499 S BROAD ST,19112,Office,Office,215051,2013,,788010018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16930745,39.89276499
0101000020E6100000A9DF4391C7CA52C0DA7635D483054440,1598,6434896,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,ephs realty,5704 MUSGRAVE ST,19144,Non-Refrigerated Warehouse,Warehouse,77285,1988,,884246680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16843063,40.0430856
0101000020E61000006D0613DA8DC952C0324703366FFD4340,1653,3960823,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,1800 Building,1800-62 N 09TH ST,19122,Office,Office,518161,1900,1,781597600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.14928295,39.97995639
,1857,17797198,Exempt,Exempt,4210-16 Chestnut Street,4210-16 Chestnut Street,19104,Multifamily Housing,Multifamily,7740,2019,1,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E61000008C4B97F674CC52C08308821145FA4340,6,5964472,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,The Axis,20 S 36TH ST,19104,Residence Hall/Dormitory,Multifamily,65380,1900,1,881601401,3061414.953,2421878.837,,2054230.1,32,115.3,207.8,5330.2,575.2,,2600722.3,1827177.8,,2142343.3,41,100.5,180.1,5146,488.2,,2328302.1,1845148.4,,1913269.5,49,93.1,164.6,5402.3,441.2,,-75.19463887,39.9552328
0101000020E61000001560508DB4CA52C0323E69347BF94340,7,3642385,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,The Racquet Club of Philadelphia,213-15 S 16TH ST,19102,Mixed Use Property,Other,81960,1907,1,882887800,3859494.036,936539.7402,,7433587.7,,149.2,253,3236.1,934.3,,2911338.8,369584,,6288312.8,,116.8,196.5,3581.2,715.8,,4162684.4,427834.9,,6727739.3,,138.1,246.4,3317.8,856,,-75.16727002,39.94907241
0101000020E6100000B1D52F229BCA52C08939CE8E50FB4340,8,3330813,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Masterman,1645 SPRING GARDEN ST,19130,K-12 School,School (K-12),105000,1933,1,782513600,1592416.908,164841.467,,6700528.5,48,80.6,120.9,3425.4,615,,993690.4,227658.4,,4970219.3,67,59,85.7,353.9,434.4,,1520168.1,205173,,,97,16.4,42.6,544.9,143.3,,-75.1657186,39.96339593
0101000020E61000002432A471C5CB52C0FB26872E2CFA4340,9,3683056,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,3010 Market Street,3000-18 MARKET ST,19104,Mixed Use Property,Office,60000,1895,1,883074000,1294885.732,,,2202908.8,74,58.3,104.6,1090.2,277.5,,,,,,,,,,,,492930.6,,,,,8,22.4,97.3,45.8,,-75.18392602,39.95447332
0101000020E6100000CA7C72DA74CA52C02BB4DE3589FB4340,10,3330819,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Franklin Learning Center,620-34 N 15TH ST,19130,K-12 School,School (K-12),150000,1909,1,782640200,2162746.356,366521.9922,,10535568.6,45,87.1,127.4,139.5,938.1,,1510533,204705.9,,8171131.4,69,65.9,95.2,0,693.7,,1757049,189503,,,100,13,34.1,203.6,163.1,,-75.16338216,39.96512483
0101000020E6100000793D98145FCB52C0B10FBA9DE0F94340,11,3583475,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,Greenfield,2200-24 CHESTNUT ST,19103,K-12 School,School (K-12),96000,1968,1,782092400,2461336.618,543373.7863,,1183623.3,73,43.6,92.6,1383.9,356.8,,2408297.4,1951532.6,,0,62,45.4,91.6,291.5,327.3,,3090661.9,5606594.5,,,14,90.6,151.5,468.9,567.1,,-75.17767825,39.95216724
0101000020E6100000479C0425FBC952C0B22B4E315EFD4340,12,3958446,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,RITTER HALL,1726-50 N 13TH ST,19122,College/University,College/ University,111090,2000,1,777570000,2064685.818,73.0000048,,8566639.5,,143.1,188,1172.4,1055.6,,1742687.9,451,,8911609.9,,132.9,174.1,559.1,974.9,,2015704.9,287,,6538570.6,,107.5,149.4,535.5,800,,-75.15595365,39.97943703
0101000020E6100000D6FFF7AF45CA52C0C94CD498B1F94340,13,3759390,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,1207 Chestnut,1207-09 CHESTNUT ST,19107,Office,Office,51676,1925,1,883311000,2886552,146736.6657,,707302.5,43,72.4,175.9,3293.7,331,,2621780.8,96475.2,,864885.5,48,69.3,164.2,1389.1,313.5,,2826500.8,166265.1,,628242.7,58,70.1,171.2,653.7,313,,-75.16050338,39.95073233
0101000020E61000002EA4CBB460CB52C005696BE9F6F94340,14,3591160,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,American Red Cross - Humanitarian Services,2213-21 CHESTNUT ST,19103,Office,Office,75495,1972,1,883324100,2994571.826,102.599999,,1782809.8,65,63.3,139.5,721.8,421.8,,2558036.5,1288.5,,1831864,61,58.2,124.1,545.7,366.5,,2736007.1,250.5,,1530010.9,60,56.5,125.9,596.9,355.7,,-75.17777748,39.95284765
0101000020E6100000CE5D4357FFC952C054C2B8C08AFD4340,15,3979396,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,CONWELL HALL,1801-35 N BROAD ST,19122,College/University,College/ University,67644,2000,1,777509000,2545876.083,330.9999971,,4593282.3,,144.6,222.6,11622.5,702.2,,2192002.2,219,,3934242,,123.9,191,13293.8,589.9,,2277101.2,491,,4156147,,127.1,197.3,1427.2,601.3,,-75.15620977,39.9807969
0101000020E6100000446990FEAECA52C04A8567F885F94340,16,20990063,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,1518 Walnut Street,1516-18 WALNUT ST,19102,Office,Office,103560,1929,1,883334010,3077544.159,3257.441913,,4656045,79,74.7,137.3,1413.3,621.1,,2464260,73322.8,,4990138.3,81,72.7,125.3,1227,571.1,,2440787.8,2770.2,,54446410.9,1,580.8,733.8,1518.5,,,-75.16693081,39.94940095
0101000020E6100000ACBE04B86ACA52C084EE16714FF94340,17,3657737,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,Historical Society of Pennsylvania,1300-12 LOCUST ST,19107,Library,Other,71316,1910,1,771739000,3418779.644,312858.0081,,3889593.7,,106.9,204.4,1002.5,621.2,,2763482.5,380981.9,,3164277.1,,88.5,167.5,1021.4,494.8,,3043116.7,307833.6,,3321349.8,,93.6,180,835.5,519.4,,-75.1627636,39.94773687
0101000020E61000008252F68E81CA52C088A3273C53F94340,260,6453640,"Compliance Group 1 Upcoming Deadlines in: 2021, 2026, 2031, 2036",Out of Compliance,Doubletree Hotel,233-43 S BROAD ST,19107,Hotel,Hotel,321440,1983,1,883702001,22840511.45,11523824.7,,,39,106.9,236.6,23307.1,2926.1,,,,,,,,,,,,,,,,,,,,,,-75.16415762,39.94785263
0101000020E61000006F4D78117FCA52C091AC0D5F70F94340,18,3597476,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,215 S. Broad,213-15 S BROAD ST,19107,Office,Office,50456,1930,1,883026005,3438753.492,56915.0205,,1185470.4,28,92.8,220.3,1707.6,430.1,,3102238.5,101986.3,,867060.4,29,80.7,195,1486.3,359.9,,3109428.6,113900.2,,981579.7,25,83.3,198.3,1975.6,359.9,,-75.16400563,39.9487418
0101000020E61000003310D3D796CA52C0F8CFAA0190F94340,19,3596562,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,1429 Walnut,1429-33 WALNUT ST,19102,Office,Office,77472,1916,1,883039600,4332567.836,5642.68911,,577705.7,50,63.5,165.6,1144,477.6,,3766987.9,5298.9,,317372.7,56,52.8,141.1,856.1,381.9,,3733758.4,2627.7,,444815,54,54,141.9,822.6,376.4,,-75.16545673,39.94970723
0101000020E6100000CC07A980E0C952C0B6A41FE427F94340,20,3107955,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,Hall Mercer at PAH,233-55 S 08TH ST,19106,Medical Office,Medical Office,70902,1980,1,771004000,4073204.656,73.87200009,,3317929665,1,46853.4,56458.4,1483.8,220718.3,,3852468.7,47.1,,3432233.4,60,102.7,210.4,974.2,596.6,,4045809.7,57.5,,3379053.5,46,104.7,217.1,1009.6,600,,-75.15432755,39.94652988
0101000020E6100000EBC5B3782FCC52C0E3868494C4FA4340,21,3762542,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,19-Kelly Hall,201 N 34TH ST,19104,Residence Hall/Dormitory,Multifamily,91520,1967,1,881822870,5000296.236,766235.4607,,5848017.9,27,126.9,238.6,3684.5,935.6,,3825336.5,505946,,5158103.5,42,103.7,190.6,1543.2,735.5,,3696096.8,694021.8,,4936358,45,101.9,185.9,926.5,686.6,,-75.19039743,39.95912415
0101000020E6100000481630815BCD52C00586AC6EF5F84340,1979,12442854,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Learning and Living Center,4514-22 Woodland Ave.,19104,College/University,College/ University,128000,2019,1,881619850,,,,,,,,,,,,,,,,,,,,,120630.7,5981.6,,,,1,2.7,2845.1,10.8,,,
0101000020E6100000802CE15C05CA52C01F03473CB8FD4340,22,3956656,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,MITTEN,1901-39 N BROAD ST,19122,College/University,College/ University,112771,2000,1,777512010,4389544.824,41889.00346,,11221355.2,,185.8,271.9,1166.2,1471.4,,3371819.3,14098,,6022273.5,,106.5,169.1,1168,860.3,,3482734.2,61,,6765549.8,,123.2,188.1,1165.5,964.8,,-75.15657732,39.98218492
0101000020E6100000EEBD11401ECA52C0CFC983DB77F94340,23,3642349,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Automated Active Optimization (CCx),Curtis Building,1001-41 WALNUT ST,19107-5099,Office,Office,136566,1928,1,771020000,7875052.952,6566.399926,,14256360,21,162.1,287.1,7042.9,1744.8,,6847430.2,1131.7,,10927726.4,34,130.2,236.7,6967.6,1381,,6899459.8,3615,,10416054.5,35,126.8,233.2,5005,1332.4,,-75.15809633,39.94897026
0101000020E6100000D35FD82F12CC52C09742D6099EFA4340,24,3762572,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Tune-Up,"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",101 N 33RD ST,19104,College/University,College/ University,117168,1926,4,774551000,5743272.884,605190.737,,7508715.4,,118.4,220,1578.2,1112.6,,4161316.1,346768.4,,6596918.5,,94.9,170.5,550.7,854.7,,4870050,560634.7,,6313005.3,,100.3,186.4,631.4,873.2,,-75.18861004,39.95794795
0101000020E6100000DA4E63948ACA52C0B8E0D25275FA4340,25,3790349,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,Bellet,1501-11 RACE ST,19102,Office,Office,129532,1960,,772027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.16470823,39.95670543
0101000020E610000032C57F2E18CC52C0A88BF3BB59FA4340,26,3762535,"Compliance Group 3 Upcoming Deadlines in: 2023, 2028, 2033, 2038",Must Comply by September 30th of 2023,13-Nesbitt,3201-47 MARKET ST,19104,College/University,College/ University,81853,1970,1,774528000,5222581.212,0,,5274923.8,,128.2,256.2,1895.5,879.4,,4137183.1,,,4613271.3,,106.9,209.3,2082.3,702.3,,4762763,,,4414711,,112.1,227.8,2216,708.1,,-75.18897593,39.95586347
0101000020E6100000CE5D4357FFC952C054C2B8C08AFD4340,27,5032329,"Compliance Group 4 Upcoming Deadlines in: 2024, 2029, 2034, 2039",Must Comply by September 30th of 2024,SPEAKMAN,1801-35 N BROAD ST,19122,College/University,College/ University,52800,2000,1,777509000,2124443.927,,,1806368,,187.4,256.6,726.7,649.5,,1997913.3,,,1551442,,127.1,195.8,495,460.8,,1726212.3,,,1437529,,148.2,204.7,1068.6,501.5,,-75.15620977,39.9807969
0101000020E61000006038F83EECC952C0FF89BAA424FD4340,28,5032264,"Compliance Group 2 Upcoming Deadlines in: 2022, 2027, 2032, 2037",Out of Compliance,TEMPLE TOWERS,1200-50 CECIL B MOORE AVE,19122,Other,Other,178596,2000,1,881299060,6494772.708,1802689.927,,3458133.5,,65.8,135.7,11356.8,983.4,,4860144.9,833750,,538735.4,,34.9,84.7,6421.4,545.2,,4908786.4,1283170,,1125942,,41,92.1,5693.9,598.7,,-75.15504431,39.97768077
